iter	Passed	Remaining
0	190	190283
1	300	149964
2	411	136841
3	514	128108
4	616	122756
5	718	119065
6	821	116505
7	923	114467
8	1024	112838
9	1126	111484
10	1227	110340
11	1328	109410
12	1425	108249
13	1522	107201
14	1619	106366
15	1720	105814
16	1824	105480
17	1926	105123
18	2029	104781
19	2130	104406
20	2227	103862
21	2329	103562
22	2430	103251
23	2530	102903
24	2633	102705
25	2736	102526
26	2837	102247
27	2941	102111
28	3047	102026
29	3143	101650
30	3248	101542
31	3352	101402
32	3456	101282
33	3562	101221
34	3668	101148
35	3776	101133
36	3882	101037
37	3988	100962
38	4092	100837
39	4191	100596
40	4293	100436
41	4401	100406
42	4508	100332
43	4613	100237
44	4712	100004
45	4815	99875
46	4914	99658
47	5014	99462
48	5113	99242
49	5211	99010
50	5311	98834
51	5413	98698
52	5515	98544
53	5618	98434
54	5721	98311
55	5819	98102
56	5920	97949
57	6020	97773
58	6123	97665
59	6223	97496
60	6322	97321
61	6422	97162
62	6521	96992
63	6624	96879
64	6728	96780
65	6829	96640
66	6928	96477
67	7030	96361
68	7132	96231
69	7232	96090
70	7338	96026
71	7437	95862
72	7539	95745
73	7637	95572
74	7737	95427
75	7834	95251
76	7932	95084
77	8033	94958
78	8133	94817
79	8231	94667
80	8333	94551
81	8431	94393
82	8529	94237
83	8627	94080
84	8724	93911
85	8829	93841
86	8924	93660
87	9023	93514
88	9123	93382
89	9225	93275
90	9331	93208
91	9435	93122
92	9536	93004
93	9639	92905
94	9748	92864
95	9850	92759
96	9951	92638
97	10057	92567
98	10157	92440
99	10258	92326
100	10364	92258
101	10466	92142
102	10569	92048
103	10674	91964
104	10779	91884
105	10885	91806
106	10988	91707
107	11090	91602
108	11192	91488
109	11293	91373
110	11399	91299
111	11505	91223
112	11608	91118
113	11710	91010
114	11810	90891
115	11916	90815
116	12019	90712
117	12119	90586
118	12221	90476
119	12322	90365
120	12426	90272
121	12526	90148
122	12628	90040
123	12730	89933
