iter	Passed	Remaining
0	164	94358
1	268	76931
2	374	71456
3	477	68169
4	583	66549
5	691	65566
6	795	64541
7	901	63866
8	1006	63324
9	1113	62889
10	1217	62409
11	1322	62055
12	1431	61883
13	1537	61615
14	1646	61465
15	1753	61263
16	1859	61025
17	1970	60984
18	2082	60941
19	2190	60774
20	2297	60611
21	2404	60450
22	2507	60171
23	2614	60023
24	2719	59836
25	2825	59666
26	2931	59488
27	3035	59307
28	3140	59136
29	3247	58993
30	3357	58921
31	3464	58787
32	3570	58639
33	3677	58508
34	3784	58385
35	3891	58257
36	3997	58125
37	4104	57998
38	4210	57873
39	4318	57762
40	4425	57635
41	4531	57506
42	4638	57384
43	4745	57274
44	4852	57155
45	4960	57041
46	5065	56910
47	5173	56796
48	5280	56688
49	5388	56584
50	5496	56471
51	5606	56386
52	5714	56278
53	5821	56164
54	5928	56050
55	6035	55937
56	6143	55827
57	6247	55689
58	6353	55562
59	6457	55430
60	6566	55329
61	6674	55226
62	6781	55111
63	6887	54988
64	6993	54870
65	7099	54751
66	7205	54634
67	7311	54512
68	7419	54409
69	7525	54294
70	7634	54191
71	7740	54074
72	7843	53940
73	7949	53817
74	8054	53698
75	8160	53576
76	8265	53457
77	8371	53342
78	8477	53223
79	8586	53131
80	8689	52992
81	8793	52869
82	8893	52720
83	8997	52594
84	9104	52482
85	9205	52344
86	9308	52211
87	9417	52114
88	9518	51978
89	9622	51853
90	9723	51718
91	9827	51594
92	9933	51485
93	10034	51347
94	10137	51222
95	10238	51086
96	10342	50966
97	10445	50839
98	10549	50723
99	10651	50592
100	10753	50467
101	10853	50328
102	10956	50206
103	11058	50081
104	11158	49948
105	11262	49833
106	11367	49719
107	11471	49605
108	11572	49475
109	11674	49353
110	11776	49229
111	11878	49105
112	11979	48978
113	12080	48851
114	12183	48735
115	12286	48618
116	12388	48496
117	12489	48371
118	12594	48260
119	12694	48134
120	12794	48005
121	12902	47907
122	13003	47785
123	13105	47665
124	13207	47548
125	13305	47413
126	13410	47305
127	13511	47185
128	13616	47077
129	13720	46967
130	13827	46864
131	13929	46749
132	14030	46628
133	14133	46513
134	14241	46415
135	14340	46290
136	14445	46182
137	14541	46049
138	14641	45926
139	14743	45808
140	14842	45684
141	14941	45562
142	15048	45462
143	15153	45355
144	15255	45240
145	15359	45130
146	15459	45012
147	15561	44895
148	15662	44780
149	15760	44655
150	15866	44552
151	15961	44418
152	16063	44306
153	16166	44194
154	16260	44060
155	16362	43947
156	16463	43832
157	16559	43703
158	16664	43600
159	16766	43488
160	16868	43375
161	16969	43262
162	17065	43133
163	17171	43033
164	17273	42923
165	17375	42811
166	17475	42693
167	17577	42583
168	17677	42467
169	17779	42356
170	17878	42238
171	17983	42135
172	18084	42022
