iter	Passed	Remaining
0	147	84785
1	284	81559
2	414	78975
3	547	78179
4	685	78122
5	818	77666
6	956	77639
7	1091	77361
8	1236	77772
9	1368	77336
10	1503	77109
11	1652	77545
12	1793	77516
13	1930	77340
14	2066	77140
15	2206	77091
16	2342	76904
17	2483	76849
18	2620	76678
19	2765	76748
20	2908	76716
21	3052	76741
22	3192	76624
23	3330	76468
24	3467	76275
25	3606	76159
26	3752	76159
27	3892	76038
28	4033	75933
29	4173	75812
30	4315	75723
31	4452	75556
32	4589	75381
33	4729	75251
34	4868	75113
35	5010	75022
36	5149	74879
37	5290	74758
38	5427	74595
39	5565	74438
40	5703	74284
41	5841	74131
42	5982	74011
43	6120	73859
44	6258	73716
45	6397	73572
46	6534	73404
47	6673	73268
48	6814	73155
49	6955	73031
50	7105	73004
51	7250	72922
52	7392	72809
53	7535	72705
54	7679	72608
55	7820	72476
56	7955	72294
57	8093	72145
58	8230	71978
59	8370	71844
60	8509	71698
61	8643	71520
62	8777	71335
63	8915	71186
64	9051	71016
65	9189	70871
66	9327	70719
67	9460	70533
68	9592	70348
69	9732	70213
70	9870	70064
71	10004	69895
72	10140	69731
73	10270	69536
74	10407	69380
75	10546	69249
76	10677	69057
77	10815	68916
78	10948	68742
79	11094	68648
80	11238	68540
81	11372	68373
82	11517	68271
83	11655	68129
84	11796	68006
85	11938	67883
86	12075	67733
87	12217	67611
88	12353	67458
89	12490	67307
90	12633	67191
91	12776	67076
92	12914	66931
93	13045	66752
94	13180	66594
95	13324	66484
96	13462	66339
97	13605	66220
98	13738	66058
99	13878	65923
100	14006	65735
101	14136	65556
102	14269	65392
103	14401	65222
104	14530	65039
105	14666	64891
106	14799	64729
107	14942	64611
108	15076	64455
109	15208	64290
110	15345	64146
111	15488	64028
112	15619	63861
113	15757	63721
114	15894	63576
115	16030	63432
116	16172	63306
117	16305	63148
118	16435	62980
119	16568	62822
120	16695	62644
121	16829	62490
122	16961	62330
123	17091	62164
124	17221	61995
125	17353	61838
126	17483	61672
127	17612	61507
128	17743	61346
129	17874	61186
130	18003	61018
131	18133	60856
132	18261	60689
133	18391	60528
134	18525	60378
135	18661	60236
136	18796	60093
137	18929	59944
138	19062	59791
139	19193	59636
140	19323	59477
141	19449	59306
142	19587	59174
143	19721	59028
144	19856	58884
145	19987	58731
146	20124	58594
147	20262	58459
148	20397	58318
149	20530	58168
150	20660	58013
151	20796	57873
152	20929	57726
153	21061	57577
154	21191	57421
155	21320	57264
156	21451	57111
157	21581	56959
158	21721	56830
159	21852	56680
160	21982	56527
161	22112	56373
162	22245	56226
163	22379	56085
164	22514	55944
165	22654	55817
166	22793	55687
167	22934	55560
168	23071	55425
169	23214	55304
170	23351	55169
171	23481	55018
172	23616	54878
173	23761	54761
174	23902	54633
175	24035	54490
176	24172	54353
177	24310	54220
178	24440	54068
179	24572	53922
180	24703	53775
181	24834	53626
182	24969	53487
183	25107	53354
184	25238	53206
185	25371	53060
186	25505	52921
187	25640	52780
188	25774	52640
189	25909	52500
190	26037	52347
191	26167	52199
192	26303	52062
193	26440	51927
194	26578	51793
195	26710	51648
196	26846	51512
197	26981	51373
198	27111	51226
199	27251	51096
200	27378	50943
201	27516	50810
202	27649	50668
203	27780	50523
204	27918	50389
205	28051	50248
206	28182	50102
207	28319	49966
208	28456	49832
209	28588	49689
210	28732	49567
211	28862	49419
212	28994	49277
213	29131	49142
214	29263	48999
215	29403	48869
216	29540	48734
217	29668	48585
218	29801	48444
219	29934	48302
220	30064	48157
221	30199	48020
222	30330	47875
223	30459	47729
224	30597	47596
225	30739	47468
226	30882	47344
227	31031	47227
228	31172	47099
229	31313	46970
230	31455	46842
231	31588	46702
232	31721	46561
233	31858	46426
234	31990	46283
235	32115	46132
236	32249	45992
237	32381	45851
238	32509	45703
239	32648	45571
240	32780	45429
241	32921	45301
242	33052	45157
243	33185	45017
244	33318	44878
245	33451	44737
246	33586	44600
247	33717	44457
248	33850	44318
249	33993	44191
250	34131	44057
251	34267	43922
252	34397	43779
253	34527	43635
254	34662	43497
255	34796	43359
256	34925	43215
257	35058	43075
258	35187	42931
259	35316	42787
260	35453	42653
261	35590	42518
262	35724	42380
263	35855	42238
264	35985	42096
265	36120	41959
266	36251	41818
267	36378	41672
268	36512	41535
269	36649	41400
270	36779	41258
271	36915	41122
272	37040	40975
273	37168	40831
274	37302	40693
275	37436	40555
276	37569	40417
277	37707	40284
278	37839	40144
279	37968	40002
280	38100	39862
281	38231	39722
282	38362	39582
283	38495	39443
284	38627	39304
285	38759	39166
286	38891	39027
287	39025	38889
288	39157	38751
289	39286	38609
290	39416	38468
291	39546	38327
292	39676	38186
293	39809	38049
294	39939	37908
295	40078	37777
296	40208	37636
297	40334	37492
298	40469	37356
299	40599	37216
300	40728	37074
301	40855	36932
302	40982	36789
303	41112	36649
304	41241	36508
305	41376	36373
306	41503	36230
307	41637	36095
308	41771	35958
309	41908	35824
310	42040	35687
311	42171	35548
312	42302	35409
313	42431	35269
314	42563	35132
315	42691	34990
316	42817	34848
317	42948	34709
318	43077	34570
319	43210	34433
320	43340	34294
321	43478	34161
322	43613	34026
323	43742	33886
324	43878	33752
325	44010	33615
326	44142	33478
327	44283	33347
328	44413	33208
329	44543	33070
330	44676	32933
331	44809	32797
332	44940	32659
333	45076	32525
334	45215	32393
335	45346	32255
336	45480	32119
337	45616	31985
338	45753	31851
339	45899	31724
340	46028	31585
341	46156	31445
342	46293	31311
343	46425	31175
344	46556	31037
345	46692	30903
346	46822	30765
347	46958	30631
348	47093	30495
349	47227	30360
350	47361	30225
351	47500	30092
352	47632	29955
353	47762	29817
354	47895	29681
355	48023	29542
356	48160	29409
357	48297	29275
358	48437	29143
359	48563	29003
360	48700	28869
361	48840	28737
362	48975	28602
363	49104	28464
364	49236	28328
365	49374	28194
366	49512	28061
367	49651	27929
368	49792	27797
369	49925	27661
370	50057	27524
371	50201	27394
372	50331	27257
373	50470	27124
374	50609	26991
375	50747	26858
376	50883	26723
377	51022	26590
378	51158	26456
379	51302	26326
380	51446	26195
381	51590	26065
382	51722	25928
383	51869	25799
384	52013	25669
385	52153	25536
386	52301	25407
387	52438	25273
388	52576	25139
389	52720	25008
390	52855	24873
391	52999	24742
392	53129	24604
393	53261	24468
394	53409	24338
395	53550	24206
396	53687	24071
397	53830	23939
398	53976	23809
399	54119	23677
400	54268	23548
401	54416	23418
402	54555	23284
403	54693	23150
404	54829	23014
405	54966	22880
406	55104	22745
407	55241	22610
408	55381	22477
409	55515	22341
410	55653	22207
411	55797	22075
412	55931	21939
413	56065	21803
414	56195	21665
415	56335	21532
416	56473	21397
417	56603	21260
418	56735	21123
419	56874	20989
420	57016	20856
421	57156	20722
422	57295	20588
423	57432	20453
424	57563	20316
425	57705	20183
426	57849	20050
427	57984	19915
428	58119	19779
429	58255	19644
430	58394	19509
431	58529	19374
432	58674	19241
433	58813	19107
434	58949	18972
435	59082	18836
436	59212	18698
437	59347	18563
438	59492	18430
439	59631	18296
440	59772	18162
441	59909	18027
442	60041	17890
443	60184	17756
444	60320	17621
445	60462	17488
446	60598	17352
447	60740	17218
448	60873	17082
449	61010	16947
450	61146	16812
451	61285	16677
452	61429	16543
453	61569	16409
454	61709	16275
455	61855	16142
456	62001	16009
457	62145	15875
458	62282	15740
459	62418	15604
460	62555	15469
461	62693	15334
462	62833	15199
463	62970	15063
464	63101	14927
465	63241	14792
466	63383	14658
467	63527	14524
468	63659	14387
469	63798	14252
470	63939	14118
471	64076	13982
472	64211	13846
473	64347	13711
474	64480	13574
475	64620	13439
476	64754	13303
477	64897	13169
478	65029	13032
479	65163	12896
480	65299	12761
481	65427	12623
482	65561	12487
483	65695	12351
484	65835	12216
485	65975	12081
486	66110	11946
487	66249	11810
488	66389	11675
489	66523	11539
490	66660	11404
491	66798	11268
492	66938	11133
493	67075	10998
494	67207	10861
495	67342	10725
496	67475	10589
497	67609	10453
498	67755	10319
499	67894	10184
500	68029	10048
501	68168	9912
502	68308	9777
503	68444	9641
504	68576	9505
505	68717	9370
506	68857	9235
507	68989	9099
508	69131	8963
509	69266	8828
510	69404	8692
511	69541	8556
512	69674	8420
513	69811	8285
514	69954	8150
515	70101	8015
516	70248	7880
517	70392	7745
518	70538	7611
519	70673	7475
520	70815	7339
521	70953	7204
522	71089	7068
523	71226	6932
524	71368	6796
525	71500	6660
526	71642	6525
527	71779	6389
528	71920	6253
529	72056	6117
530	72193	5982
531	72327	5845
532	72468	5710
533	72607	5574
534	72746	5439
535	72893	5303
536	73039	5168
537	73174	5032
538	73310	4896
539	73444	4760
540	73577	4624
541	73731	4489
542	73864	4352
543	74003	4217
544	74142	4081
545	74279	3945
546	74413	3809
547	74553	3673
548	74692	3537
549	74830	3401
550	74971	3265
551	75112	3129
552	75249	2993
553	75382	2857
554	75520	2721
555	75661	2585
556	75803	2449
557	75946	2313
558	76080	2177
559	76210	2041
560	76347	1905
561	76488	1769
562	76622	1633
563	76759	1497
564	76903	1361
565	77049	1225
566	77191	1089
567	77326	952
568	77455	816
569	77595	680
570	77739	544
571	77873	408
572	78005	272
573	78139	136
574	78282	0
