iter	Passed	Remaining
0	47	31071
1	96	31530
2	145	31549
3	190	30985
4	236	30645
5	282	30487
6	328	30331
7	372	30109
8	417	29950
9	463	29841
10	508	29700
11	555	29727
12	602	29690
13	647	29585
14	691	29467
15	737	29397
16	784	29402
17	830	29345
18	877	29341
19	923	29267
20	968	29197
21	1012	29097
22	1056	28996
23	1100	28893
24	1144	28783
25	1187	28683
26	1230	28585
27	1277	28557
28	1323	28513
29	1368	28466
30	1413	28408
31	1458	28356
32	1503	28294
33	1548	28236
34	1593	28180
35	1638	28124
36	1681	28042
37	1724	27956
38	1769	27905
39	1813	27843
40	1860	27810
41	1903	27742
42	1947	27673
43	1991	27604
44	2034	27527
45	2077	27459
46	2120	27386
47	2163	27317
48	2206	27246
49	2249	27179
50	2294	27125
51	2337	27056
52	2380	26990
53	2422	26919
54	2466	26858
55	2509	26803
56	2552	26736
57	2595	26673
58	2640	26625
59	2682	26561
60	2726	26505
61	2769	26442
62	2812	26379
63	2859	26360
64	2902	26299
65	2944	26231
66	2984	26144
67	3023	26055
68	3066	25997
69	3108	25930
70	3145	25829
71	3189	25783
72	3227	25687
73	3271	25637
74	3311	25564
75	3349	25476
76	3387	25385
77	3427	25309
78	3464	25219
79	3507	25169
80	3550	25115
81	3589	25041
82	3627	24954
83	3666	24880
84	3705	24807
85	3746	24746
86	3791	24710
87	3834	24662
88	3874	24598
89	3914	24529
90	3957	24486
91	3996	24414
92	4038	24363
93	4081	24317
94	4124	24269
95	4166	24219
96	4210	24177
97	4249	24107
98	4286	24033
99	4332	23999
100	4376	23963
101	4418	23914
102	4458	23848
103	4499	23794
104	4542	23752
105	4587	23715
106	4626	23651
107	4665	23585
108	4708	23543
109	4747	23479
110	4789	23431
111	4829	23372
112	4870	23318
113	4913	23274
114	4956	23231
115	4994	23165
116	5034	23105
117	5071	23037
118	5116	23002
119	5159	22960
120	5200	22909
121	5240	22850
122	5282	22805
123	5327	22770
124	5372	22735
125	5410	22670
126	5449	22613
127	5493	22576
128	5532	22515
129	5575	22472
130	5619	22434
131	5663	22397
132	5706	22354
133	5749	22311
134	5792	22268
135	5837	22232
136	5883	22201
137	5921	22140
138	5959	22080
139	5997	22018
140	6041	21980
141	6084	21939
142	6122	21877
143	6165	21835
144	6208	21793
145	6252	21754
146	6289	21693
147	6333	21653
148	6378	21617
149	6422	21580
150	6465	21538
151	6505	21485
152	6544	21429
153	6587	21387
154	6631	21349
155	6674	21307
156	6717	21264
157	6760	21222
158	6800	21171
159	6847	21141
160	6893	21109
161	6932	21053
162	6975	21011
163	7018	20970
164	7059	20920
165	7099	20870
166	7140	20823
167	7185	20786
168	7225	20736
169	7265	20685
170	7312	20654
171	7352	20604
172	7393	20557
173	7438	20519
174	7478	20470
175	7523	20433
176	7564	20385
177	7606	20339
178	7646	20290
179	7686	20241
180	7726	20191
181	7770	20152
182	7812	20107
183	7857	20070
184	7903	20035
185	7948	19999
186	7988	19950
187	8036	19919
188	8076	19871
189	8120	19831
