iter	Logloss
0	0.6336873083
1	0.5761926633
2	0.5231919625
3	0.4761413168
4	0.4319221561
5	0.3917447854
6	0.3553024142
7	0.3224936195
8	0.2927282381
9	0.2642754953
10	0.2392567049
11	0.2160733344
12	0.1949503167
13	0.1756530879
14	0.1585045134
15	0.1434768911
16	0.1296458685
17	0.1170322252
18	0.1058330287
19	0.09569954986
20	0.08633448904
21	0.07807957095
22	0.07057523316
23	0.06388525026
24	0.05790679256
25	0.05244088983
26	0.04750855803
27	0.04315854453
28	0.03926223487
29	0.03568498502
30	0.0325042981
31	0.02950256065
32	0.0268697423
33	0.02446833308
34	0.02231078613
35	0.02034395157
36	0.01856766744
37	0.01698255973
38	0.01555812743
39	0.01426352221
40	0.01304325795
41	0.01196061385
42	0.01097690618
43	0.01009022043
44	0.009277769848
45	0.008533527768
46	0.007833581634
47	0.007203071224
48	0.006631520659
49	0.006120280098
50	0.005665200561
51	0.00521931022
52	0.004833029813
53	0.004477299682
54	0.00415209757
55	0.003857042983
56	0.003583522759
57	0.003333857818
58	0.003090284472
59	0.002877302989
60	0.002684179385
61	0.002503702463
62	0.002328624362
63	0.002170902274
64	0.002025875022
65	0.001890534568
66	0.001768230777
67	0.001656730649
68	0.00155796202
69	0.001457032441
70	0.001363641019
71	0.001280072468
72	0.001200849533
73	0.001124357473
74	0.001052939098
75	0.0009865931302
76	0.0009241594753
77	0.0008672444818
78	0.000813862581
79	0.0007620250571
80	0.0007158264453
81	0.0006730921138
82	0.0006319019768
83	0.0005958104685
84	0.0005627718716
85	0.0005308838396
86	0.0005006533212
87	0.0004729941654
88	0.0004482794813
89	0.0004275253557
90	0.0004057157439
91	0.000384992308
92	0.0003651197683
93	0.0003464801949
94	0.0003310527268
95	0.0003150999098
96	0.0003002541311
97	0.0002861161292
98	0.0002722587573
99	0.0002603638118
100	0.0002491452694
101	0.0002384548349
102	0.0002269312887
103	0.0002168241852
104	0.0002076882057
105	0.0001993729343
106	0.0001912652285
107	0.0001823374869
108	0.0001758351953
109	0.0001695160953
110	0.0001632858949
111	0.0001560802385
112	0.0001492747442
113	0.0001436930618
114	0.0001384171584
115	0.0001339689175
116	0.0001292428397
117	0.0001246974681
118	0.0001206019527
119	0.0001166500128
120	0.0001127964348
121	0.0001091827421
122	0.0001056981807
123	0.0001021231236
124	9.863051356e-05
125	9.585201887e-05
126	9.282087054e-05
127	9.078816126e-05
128	8.812246693e-05
129	8.548125476e-05
130	8.230266623e-05
131	7.989436237e-05
132	7.706228623e-05
133	7.468564103e-05
134	7.273166799e-05
135	7.060584098e-05
136	6.873458288e-05
137	6.688027133e-05
138	6.51997974e-05
139	6.334697929e-05
140	6.170779158e-05
141	6.025985544e-05
142	5.861655791e-05
143	5.699752024e-05
144	5.551559979e-05
145	5.423645093e-05
146	5.292956512e-05
147	5.16040683e-05
148	5.030266604e-05
149	4.912548154e-05
150	4.794132005e-05
151	4.649909547e-05
152	4.540996981e-05
153	4.418985175e-05
154	4.30404498e-05
155	4.192312263e-05
156	4.086251769e-05
157	4.005698041e-05
158	3.948109381e-05
159	3.848310221e-05
160	3.748715698e-05
161	3.712118996e-05
162	3.641742039e-05
163	3.592015032e-05
164	3.556677209e-05
165	3.459802514e-05
166	3.404168437e-05
167	3.335180892e-05
168	3.292522931e-05
169	3.22917854e-05
170	3.145805231e-05
171	3.083173929e-05
172	3.027397632e-05
173	2.981218116e-05
174	2.935546484e-05
175	2.877550832e-05
176	2.797510688e-05
177	2.761750769e-05
178	2.719690755e-05
179	2.669832929e-05
180	2.624950482e-05
181	2.575159918e-05
182	2.525295252e-05
183	2.496869722e-05
184	2.457884941e-05
185	2.427527058e-05
186	2.393958563e-05
187	2.353097149e-05
188	2.322171103e-05
189	2.296121967e-05
190	2.245426504e-05
191	2.20664137e-05
192	2.169956459e-05
193	2.135267029e-05
194	2.084747842e-05
195	2.04756944e-05
196	2.01104399e-05
197	1.988542345e-05
198	1.964816735e-05
199	1.931553769e-05
200	1.897797169e-05
201	1.868676362e-05
202	1.85134319e-05
203	1.835434629e-05
204	1.801386609e-05
205	1.778209496e-05
206	1.756265896e-05
207	1.730075397e-05
208	1.711857988e-05
209	1.69364115e-05
210	1.675313443e-05
211	1.653174328e-05
212	1.623106441e-05
213	1.598294096e-05
214	1.578351393e-05
215	1.558766945e-05
216	1.537283348e-05
217	1.524351265e-05
218	1.509439233e-05
219	1.485680277e-05
220	1.469044234e-05
221	1.446578357e-05
222	1.429356053e-05
223	1.414420651e-05
224	1.404912366e-05
225	1.388057579e-05
226	1.362288606e-05
227	1.353589173e-05
228	1.337402587e-05
229	1.308924473e-05
230	1.290168399e-05
231	1.275689579e-05
232	1.262781865e-05
233	1.246524312e-05
234	1.228365615e-05
235	1.2124153e-05
236	1.199400137e-05
237	1.178874095e-05
238	1.169160889e-05
239	1.152045249e-05
240	1.147515693e-05
241	1.137221427e-05
242	1.129643927e-05
243	1.120291399e-05
244	1.105321083e-05
245	1.10049804e-05
246	1.089602266e-05
247	1.078802326e-05
248	1.069311284e-05
249	1.061443432e-05
250	1.049166296e-05
251	1.049023508e-05
252	1.037899514e-05
253	1.02784665e-05
254	1.018534379e-05
255	1.015537808e-05
256	9.989827066e-06
257	9.901289417e-06
258	9.827235148e-06
259	9.779965905e-06
260	9.637247575e-06
261	9.540583643e-06
262	9.517639096e-06
263	9.395956474e-06
264	9.330101877e-06
265	9.22937231e-06
266	9.174622327e-06
267	9.072925871e-06
268	9.032255269e-06
269	8.969584208e-06
270	8.869120411e-06
271	8.797148123e-06
272	8.725831354e-06
273	8.725117409e-06
274	8.51055077e-06
275	8.533213872e-06
276	8.447957374e-06
277	8.387277805e-06
278	8.304303507e-06
279	8.28845779e-06
280	8.16824652e-06
281	8.142843069e-06
282	8.090290495e-06
283	7.994494412e-06
284	7.928152452e-06
285	7.864661994e-06
286	7.785568076e-06
287	7.714362459e-06
288	7.700633637e-06
289	7.633239285e-06
290	7.581033708e-06
291	7.504147175e-06
292	7.487100863e-06
293	7.435193119e-06
294	7.434361609e-06
295	7.34454285e-06
296	7.259318416e-06
297	7.237815296e-06
298	7.173916564e-06
299	7.134031159e-06
300	7.073704999e-06
301	7.077468526e-06
302	7.008284326e-06
303	6.930515694e-06
304	6.863294485e-06
305	6.827538841e-06
306	6.837144314e-06
307	6.807566212e-06
308	6.648692932e-06
309	6.606831711e-06
310	6.642508977e-06
311	6.592017009e-06
312	6.576737745e-06
313	6.513639886e-06
314	6.555616535e-06
315	6.4606712e-06
316	6.447059944e-06
317	6.390112551e-06
318	6.364796027e-06
319	6.323055934e-06
320	6.279894364e-06
321	6.257614598e-06
322	6.237693983e-06
323	6.217082225e-06
324	6.164878785e-06
325	6.154094093e-06
326	6.094607281e-06
327	6.05045816e-06
328	6.002435071e-06
329	5.943643322e-06
330	5.911795846e-06
331	5.8814696e-06
332	5.83552778e-06
333	5.838457659e-06
334	5.808730641e-06
335	5.767716248e-06
336	5.742778429e-06
337	5.691131823e-06
338	5.66633722e-06
339	5.642883935e-06
340	5.595482519e-06
341	5.54697848e-06
342	5.497653618e-06
343	5.486221958e-06
344	5.426497521e-06
345	5.438451101e-06
346	5.42810639e-06
347	5.391643571e-06
348	5.364877783e-06
349	5.33297865e-06
350	5.306040076e-06
351	5.261137822e-06
352	5.227636589e-06
353	5.23013005e-06
354	5.193041995e-06
355	5.150655647e-06
356	5.134720865e-06
357	5.116220301e-06
358	5.103464068e-06
359	5.057680784e-06
360	5.047888987e-06
361	4.992922042e-06
362	4.98530521e-06
363	4.981190411e-06
364	4.960166104e-06
365	4.921098314e-06
366	4.90073095e-06
367	4.878997686e-06
368	4.840706186e-06
369	4.808703025e-06
370	4.797895532e-06
371	4.764242176e-06
372	4.758775372e-06
373	4.716235476e-06
374	4.693627594e-06
375	4.67823789e-06
376	4.625780081e-06
377	4.628713167e-06
378	4.586669896e-06
379	4.576706739e-06
380	4.554794276e-06
381	4.55010768e-06
382	4.517429407e-06
383	4.479669447e-06
384	4.493974341e-06
385	4.452143045e-06
386	4.433884381e-06
387	4.406641562e-06
388	4.390403603e-06
389	4.374445308e-06
390	4.313798871e-06
391	4.349742264e-06
392	4.304175585e-06
393	4.281922895e-06
394	4.267312686e-06
395	4.250741268e-06
396	4.250515756e-06
397	4.197826022e-06
398	4.20545176e-06
399	4.174820555e-06
400	4.150543597e-06
401	4.149085783e-06
402	4.119004999e-06
403	4.0925203e-06
404	4.090786384e-06
405	4.058233515e-06
406	4.040069616e-06
407	4.037530197e-06
408	4.025272015e-06
409	4.004590074e-06
410	3.984758167e-06
411	3.970659904e-06
412	3.950988315e-06
413	3.929781603e-06
414	3.932969414e-06
415	3.883813063e-06
416	3.885427276e-06
417	3.874983168e-06
418	3.860923381e-06
419	3.82137749e-06
420	3.79446528e-06
421	3.801259151e-06
422	3.792925169e-06
423	3.775318105e-06
424	3.727724309e-06
425	3.717790365e-06
426	3.69661251e-06
427	3.69864319e-06
428	3.695154695e-06
429	3.650203633e-06
430	3.666626135e-06
431	3.653532167e-06
432	3.631189343e-06
433	3.603734549e-06
434	3.584206533e-06
435	3.57769945e-06
436	3.548993828e-06
437	3.545875844e-06
438	3.5045825e-06
439	3.492297242e-06
440	3.504608507e-06
441	3.475352821e-06
442	3.451249717e-06
443	3.433642297e-06
444	3.412014842e-06
445	3.409200391e-06
446	3.391705548e-06
447	3.382914128e-06
448	3.368188492e-06
449	3.354618562e-06
450	3.346136732e-06
451	3.349521555e-06
452	3.32762833e-06
453	3.29831778e-06
454	3.311617309e-06
455	3.281054506e-06
456	3.289756148e-06
457	3.278464498e-06
458	3.255426611e-06
459	3.261398592e-06
460	3.235007589e-06
461	3.238632887e-06
462	3.201946693e-06
463	3.212950485e-06
464	3.195038462e-06
465	3.176865658e-06
466	3.184887556e-06
467	3.153499299e-06
468	3.155660727e-06
469	3.142002444e-06
470	3.13124839e-06
471	3.128288941e-06
472	3.084902572e-06
473	3.085352528e-06
474	3.060834382e-06
475	3.064137265e-06
476	3.055248587e-06
477	3.042161032e-06
478	3.01885132e-06
479	3.029948095e-06
480	3.015102399e-06
481	2.997358175e-06
482	2.978977314e-06
483	2.982309767e-06
484	2.971682007e-06
485	2.956298181e-06
486	2.941756374e-06
487	2.928794757e-06
488	2.91679807e-06
489	2.932745677e-06
490	2.904958315e-06
491	2.905730686e-06
492	2.887246154e-06
493	2.888064304e-06
494	2.864139865e-06
495	2.85545372e-06
496	2.859280483e-06
497	2.848601066e-06
