iter	Passed	Remaining
0	61	30806
1	67	16850
2	72	12050
3	78	9697
4	83	8250
5	88	7304
6	95	6710
7	100	6162
8	105	5733
9	109	5362
10	114	5072
11	118	4801
12	121	4544
13	125	4343
14	128	4139
15	130	3957
16	133	3796
17	135	3630
18	137	3480
19	139	3345
20	141	3218
21	142	3100
22	144	2996
23	146	2906
24	148	2818
25	149	2734
26	151	2658
27	153	2584
28	154	2513
29	156	2446
30	157	2386
31	159	2332
32	161	2281
33	162	2232
34	164	2187
35	166	2147
36	168	2105
37	170	2068
38	171	2028
39	173	1993
40	174	1956
41	176	1926
42	178	1892
43	179	1862
44	181	1833
45	183	1806
46	184	1780
47	188	1771
48	189	1745
49	191	1722
50	193	1702
51	194	1677
52	196	1654
53	197	1630
54	198	1608
55	200	1589
56	202	1572
57	204	1555
58	205	1538
59	207	1523
60	209	1506
61	210	1489
62	212	1472
63	214	1460
64	215	1445
65	217	1430
66	219	1415
67	220	1402
68	222	1389
69	224	1377
70	225	1364
71	227	1353
72	229	1340
73	230	1327
74	232	1316
75	233	1304
76	235	1292
77	236	1280
78	238	1268
79	239	1258
80	241	1247
81	242	1237
82	244	1227
83	246	1218
84	247	1209
85	249	1200
86	250	1190
87	252	1181
88	254	1176
89	256	1166
90	257	1157
91	259	1148
92	260	1140
93	262	1132
94	263	1124
95	265	1116
96	268	1114
97	269	1105
98	271	1098
99	272	1090
100	275	1086
101	276	1079
102	277	1071
103	279	1063
104	280	1056
105	282	1049
106	283	1042
107	285	1036
108	287	1030
109	289	1024
110	290	1018
111	292	1011
112	294	1008
113	295	1002
114	297	995
115	298	989
116	300	982
117	301	976
118	303	970
119	304	965
120	306	959
121	309	957
122	310	952
123	312	947
124	313	941
125	315	936
126	316	930
127	318	924
128	319	918
129	320	913
130	322	908
131	323	903
132	325	898
133	327	894
134	328	889
135	330	884
136	332	879
137	333	875
138	335	872
139	337	867
140	338	862
141	340	857
142	341	852
143	343	848
144	344	843
145	346	839
146	347	835
147	349	831
148	351	826
149	352	822
150	354	818
151	355	814
152	356	809
153	358	805
154	359	800
155	361	796
156	362	792
157	364	788
158	365	784
159	367	780
160	369	777
161	370	773
162	372	769
163	373	765
164	375	762
165	376	758
166	378	754
167	379	750
168	380	746
169	382	742
170	384	738
171	385	735
172	387	731
173	388	728
174	390	725
175	391	721
176	393	718
177	396	716
178	397	712
179	398	709
180	400	705
181	401	701
182	403	698
183	405	695
184	406	692
185	409	691
186	411	688
187	412	684
188	414	681
189	417	680
190	418	677
191	420	673
192	421	670
193	423	667
194	424	664
195	426	661
196	427	658
197	429	655
198	431	652
199	432	649
200	434	646
201	436	644
202	438	641
203	439	638
204	441	634
205	442	632
206	444	628
207	445	625
208	447	623
209	449	620
210	450	617
211	452	614
212	453	611
213	455	609
214	457	606
215	458	603
216	460	600
217	461	597
218	463	594
219	464	591
220	466	588
221	467	585
222	469	583
223	471	580
224	472	577
225	474	575
226	476	572
227	477	569
228	479	567
229	480	564
230	482	561
231	483	558
232	485	555
233	486	553
234	488	550
235	490	548
236	491	545
237	493	542
238	494	540
239	496	538
240	498	535
241	499	532
242	501	529
243	502	527
244	504	524
245	505	521
246	507	519
247	508	516
248	510	514
249	511	511
250	513	509
251	514	506
252	516	504
253	518	502
254	519	499
255	521	496
256	522	494
257	524	491
258	525	489
259	527	486
260	528	484
261	531	483
262	533	480
263	534	478
264	536	476
265	538	473
266	539	471
267	541	468
268	542	465
269	544	463
270	545	461
271	547	458
272	548	456
273	551	455
274	553	452
275	555	450
276	556	448
277	558	445
278	559	443
279	560	440
280	562	438
281	563	435
282	565	433
283	566	431
284	568	428
285	570	427
286	572	424
287	573	422
288	575	420
289	576	417
290	578	415
291	579	413
292	581	410
293	582	408
294	585	406
295	586	404
296	588	402
297	589	399
298	591	397
299	592	395
300	594	392
301	595	390
302	598	388
303	599	386
304	601	384
305	602	382
306	604	379
307	605	377
308	607	375
309	608	373
310	610	370
311	611	368
312	613	366
313	615	364
314	616	362
315	618	360
316	619	357
317	621	355
318	622	353
319	624	351
320	626	349
321	627	346
322	629	344
323	630	342
324	632	340
325	633	338
326	635	336
327	637	334
328	638	332
329	640	329
330	641	327
331	643	325
332	645	323
333	646	321
334	648	319
335	649	317
336	651	315
337	653	313
338	654	310
339	656	308
340	657	306
341	659	304
342	660	302
343	662	300
344	663	298
345	665	296
346	667	294
347	669	292
348	671	290
349	673	288
350	674	286
351	677	284
352	679	282
353	681	280
354	683	279
355	685	277
356	687	275
357	688	273
358	690	271
359	692	269
360	694	267
361	695	265
362	697	263
363	699	261
364	701	259
365	703	257
366	705	255
367	707	253
368	709	252
369	712	250
370	713	248
371	715	246
372	717	244
373	719	242
374	721	240
375	722	238
376	724	236
377	726	234
378	727	232
379	729	230
