iter	Passed	Remaining
0	24	13955
1	47	13486
2	70	13515
3	93	13333
4	114	13073
5	138	13105
6	159	12946
7	180	12806
8	202	12710
9	222	12577
10	244	12543
11	265	12465
12	287	12408
13	308	12369
14	330	12323
15	351	12276
16	373	12263
17	395	12226
18	416	12187
19	438	12162
20	459	12133
21	480	12066
22	501	12036
23	523	12012
24	543	11954
25	563	11902
26	585	11890
27	607	11870
28	629	11848
29	650	11820
30	671	11790
31	693	11767
32	713	11722
33	734	11679
34	753	11629
35	775	11604
36	796	11583
37	818	11563
38	840	11553
39	861	11526
40	884	11523
41	905	11491
42	925	11455
43	946	11418
44	967	11395
45	988	11370
46	1008	11332
47	1030	11318
48	1052	11299
49	1074	11281
50	1096	11265
51	1118	11253
52	1140	11236
53	1161	11208
54	1184	11198
55	1206	11182
56	1226	11148
57	1247	11122
58	1269	11104
59	1291	11082
60	1312	11058
61	1334	11044
62	1356	11022
63	1377	10997
64	1397	10964
65	1420	10952
66	1441	10929
67	1460	10890
68	1481	10861
69	1502	10837
70	1522	10806
71	1542	10776
72	1561	10736
73	1580	10697
74	1599	10666
75	1620	10639
76	1640	10612
77	1661	10587
78	1680	10551
79	1700	10524
80	1722	10503
81	1743	10479
82	1763	10451
83	1782	10421
84	1804	10400
85	1824	10373
86	1844	10347
87	1865	10324
88	1885	10295
89	1907	10279
90	1927	10252
91	1947	10222
92	1966	10193
93	1986	10166
94	2007	10143
95	2028	10122
96	2048	10093
97	2069	10071
98	2089	10047
99	2110	10026
100	2131	10004
101	2152	9983
102	2173	9959
103	2193	9933
104	2214	9910
105	2234	9884
106	2253	9857
107	2274	9835
108	2293	9807
109	2315	9788
110	2334	9759
111	2356	9740
112	2376	9715
113	2396	9693
114	2417	9671
115	2438	9649
116	2459	9626
117	2479	9603
118	2501	9586
119	2522	9566
120	2543	9543
121	2564	9523
122	2584	9497
123	2604	9474
124	2624	9448
125	2645	9427
126	2664	9400
127	2683	9372
128	2702	9343
129	2721	9314
130	2742	9294
131	2761	9268
132	2780	9241
133	2800	9216
134	2820	9192
135	2841	9171
136	2861	9147
137	2881	9124
138	2903	9106
139	2926	9092
140	2945	9066
141	2965	9041
142	2985	9017
143	3005	8995
144	3025	8972
145	3046	8951
146	3066	8929
147	3086	8905
148	3107	8883
149	3127	8861
150	3148	8841
151	3169	8820
152	3190	8800
153	3212	8782
154	3233	8761
155	3253	8737
156	3274	8717
157	3294	8694
158	3315	8673
159	3335	8650
160	3355	8627
161	3374	8603
162	3394	8580
163	3414	8557
164	3435	8536
165	3456	8515
166	3476	8492
167	3496	8471
168	3515	8446
169	3535	8421
170	3555	8399
171	3574	8375
172	3595	8355
173	3614	8330
174	3635	8310
175	3655	8287
176	3676	8266
177	3696	8244
178	3717	8223
179	3738	8202
180	3759	8182
181	3780	8162
182	3800	8140
183	3821	8120
184	3841	8098
185	3861	8076
186	3880	8052
187	3901	8031
188	3925	8018
189	3944	7993
190	3965	7971
191	3985	7950
192	4006	7929
193	4026	7907
194	4047	7887
195	4068	7866
196	4087	7843
197	4108	7822
198	4128	7799
199	4147	7777
200	4167	7755
201	4187	7733
202	4208	7711
203	4228	7690
204	4248	7668
205	4269	7647
206	4289	7626
207	4310	7605
208	4330	7584
209	4351	7562
210	4370	7539
211	4390	7517
212	4410	7496
213	4431	7475
214	4451	7454
215	4471	7431
216	4492	7411
217	4514	7393
218	4534	7371
219	4555	7351
220	4577	7332
221	4598	7312
222	4619	7292
223	4641	7272
224	4661	7251
225	4681	7230
226	4702	7208
227	4723	7188
228	4742	7165
229	4761	7142
