iter	Passed	Remaining
0	164	42257
1	303	38825
2	442	37651
3	579	36783
4	717	36317
5	855	35918
6	987	35399
7	1124	35141
8	1263	34967
9	1399	34702
10	1531	34379
11	1662	34073
12	1794	33822
13	1925	33562
14	2055	33305
15	2183	33024
16	2324	32952
17	2458	32774
18	2583	32503
19	2717	32343
20	2848	32148
21	2976	31933
22	3105	31728
23	3270	31884
24	3398	31676
25	3531	31508
26	3660	31313
27	3795	31173
28	3921	30966
29	4054	30815
30	4183	30637
31	4315	30476
32	4446	30317
33	4576	30148
34	4706	29984
35	4838	29840
36	4966	29662
37	5102	29542
38	5231	29378
39	5360	29215
40	5487	29044
41	5614	28875
42	5746	28730
43	5880	28599
44	6005	28424
45	6132	28262
46	6270	28148
47	6400	28001
48	6526	27837
49	6651	27671
50	6783	27533
51	6912	27385
52	7050	27270
53	7186	27150
54	7315	27002
55	7441	26842
56	7565	26678
57	7694	26533
58	7818	26371
59	7958	26262
60	8087	26119
61	8218	25980
62	8347	25838
63	8479	25702
64	8611	25569
65	8744	25437
66	8885	25328
67	9011	25179
68	9150	25064
69	9279	24922
70	9413	24794
71	9543	24653
72	9672	24513
73	9809	24391
74	9952	24284
75	10084	24150
76	10215	24012
77	10344	23872
78	10477	23740
79	10607	23601
80	10741	23471
81	10879	23351
82	11015	23226
83	11154	23105
84	11296	22990
85	11427	22854
86	11568	22737
87	11702	22607
88	11838	22480
89	11978	22360
90	12110	22224
91	12243	22091
92	12384	21971
93	12519	21843
94	12654	21713
95	12786	21578
96	12926	21454
97	13056	21315
98	13190	21184
99	13322	21050
100	13456	20917
101	13591	20787
102	13725	20654
103	13858	20521
104	13992	20388
105	14126	20256
106	14264	20130
107	14399	19999
108	14537	19872
109	14673	19741
110	14805	19607
111	14940	19476
112	15079	19349
113	15215	19219
114	15344	19080
115	15478	18947
116	15616	18819
117	15757	18695
118	15892	18564
119	16032	18437
120	16174	18313
121	16315	18187
122	16452	18057
123	16596	17934
124	16729	17800
125	16865	17668
126	17000	17536
127	17179	17447
128	17323	17323
129	17460	17191
130	17590	17053
131	17720	16915
132	17859	16784
133	17990	16648
134	18133	16521
135	18263	16383
136	18393	16245
137	18527	16111
138	18674	15987
139	18854	15891
140	19022	15784
141	19153	15646
142	19291	15513
143	19423	15376
144	19552	15237
145	19688	15103
146	19829	14973
147	19960	14835
148	20090	14697
149	20253	14582
150	20420	14470
151	20560	14338
152	20690	14199
153	20833	14069
154	20963	13930
155	21097	13794
156	21241	13664
157	21380	13532
158	21510	13393
159	21688	13284
160	21822	13147
161	21967	13017
162	22102	12881
163	22242	12748
164	22374	12611
165	22506	12473
166	22636	12334
167	22765	12195
168	22907	12063
169	23053	11933
170	23209	11808
171	23343	11671
172	23473	11533
173	23613	11399
174	23740	11259
175	23868	11120
176	24007	10986
177	24147	10852
178	24284	10717
179	24425	10584
180	24565	10450
181	24703	10315
182	24841	10181
183	24971	10042
184	25111	9908
185	25261	9778
186	25404	9645
187	25542	9510
188	25682	9376
189	25819	9240
190	25951	9103
191	26088	8968
192	26218	8830
193	26349	8692
194	26479	8554
195	26613	8418
196	26750	8283
197	26884	8146
198	27018	8010
199	27146	7872
200	27330	7750
201	27507	7625
202	27672	7497
203	27813	7362
204	27955	7227
205	28084	7089
206	28263	6963
207	28441	6836
208	28603	6705
209	28742	6569
210	28881	6433
211	29017	6296
212	29155	6159
213	29295	6023
214	29435	5887
215	29564	5748
216	29704	5612
217	29845	5476
218	29982	5339
219	30120	5202
220	30261	5066
221	30394	4928
222	30540	4793
223	30676	4656
224	30805	4518
225	31376	4442
226	31556	4309
227	31701	4171
228	31844	4032
229	31980	3893
230	32115	3753
231	32256	3614
232	32395	3475
233	32528	3336
234	32657	3196
235	32791	3056
236	32921	2917
237	33052	2777
238	33186	2638
239	33330	2499
240	33471	2361
241	33602	2221
242	33742	2082
243	33872	1943
244	34001	1804
245	34145	1665
246	34276	1526
247	34424	1388
248	34567	1249
249	34711	1110
250	34855	972
251	34985	832
252	35127	694
253	35255	555
254	35396	416
255	35536	277
256	35693	138
257	35839	0
