iter	Passed	Remaining
0	117	117381
1	168	84013
2	218	72739
3	271	67530
4	325	64817
5	379	62894
6	429	60900
7	481	59649
8	531	58492
9	580	57492
10	634	57037
11	684	56397
12	734	55756
13	782	55085
14	831	54631
15	882	54248
16	931	53871
17	982	53609
18	1033	53364
19	1083	53072
20	1133	52835
21	1183	52600
22	1232	52347
23	1282	52175
24	1332	51981
25	1382	51774
26	1430	51553
27	1478	51311
28	1526	51108
29	1576	50977
30	1627	50860
31	1676	50704
32	1724	50535
33	1770	50315
34	1821	50214
35	1868	50040
36	1915	49843
37	1962	49671
38	2009	49524
39	2058	49394
40	2104	49224
41	2154	49138
42	2204	49055
43	2250	48906
44	2300	48831
45	2345	48649
46	2393	48528
47	2442	48450
48	2491	48362
49	2540	48267
50	2586	48129
51	2635	48054
52	2681	47921
53	2728	47793
54	2774	47667
55	2822	47574
56	2871	47508
57	2919	47410
58	2967	47330
59	3017	47278
60	3066	47197
61	3112	47084
62	3160	47005
63	3209	46941
64	3258	46868
65	3307	46812
66	3361	46816
67	3411	46758
68	3460	46686
69	3510	46633
70	3558	46557
71	3607	46501
72	3656	46427
73	3704	46355
74	3752	46286
75	3803	46242
76	3850	46156
77	3899	46090
78	3948	46031
79	3994	45931
80	4046	45914
81	4097	45868
82	4143	45776
83	4192	45718
84	4241	45654
85	4290	45595
86	4337	45516
87	4382	45422
88	4430	45349
89	4478	45280
90	4529	45241
91	4573	45141
92	4626	45120
93	4674	45056
94	4721	44980
95	4769	44916
96	4822	44890
97	4870	44827
98	4917	44753
99	4964	44678
100	5009	44590
101	5060	44549
102	5111	44513
103	5162	44473
104	5211	44426
105	5261	44372
106	5309	44313
107	5360	44271
108	5405	44187
109	5451	44103
110	5501	44057
111	5552	44022
112	5605	44003
113	5658	43978
114	5708	43931
115	5758	43885
116	5806	43823
117	5853	43748
118	5901	43693
119	5948	43623
120	5995	43556
121	6045	43510
122	6096	43468
123	6147	43428
124	6199	43398
125	6249	43353
126	6302	43320
127	6347	43242
128	6398	43200
129	6447	43151
130	6496	43092
131	6546	43050
132	6594	42990
133	6643	42934
134	6691	42872
135	6741	42825
136	6788	42764
137	6837	42710
138	6879	42616
139	6926	42547
140	6976	42504
141	7026	42453
142	7078	42419
143	7127	42371
144	7179	42332
145	7229	42286
146	7283	42262
147	7329	42194
148	7375	42125
149	7421	42053
150	7469	41995
151	7518	41944
152	7567	41895
153	7614	41832
154	7662	41775
155	7708	41706
156	7758	41660
157	7805	41598
158	7857	41561
159	7909	41522
160	7952	41443
161	8001	41388
162	8050	41337
163	8095	41265
164	8145	41220
165	8190	41148
166	8236	41082
167	8285	41033
168	8332	40970
169	8380	40915
170	8429	40863
171	8478	40815
172	8529	40772
173	8579	40729
174	8630	40686
175	8678	40633
176	8729	40591
177	8779	40544
178	8827	40489
179	8873	40421
180	8919	40360
181	8970	40318
182	9021	40276
183	9072	40236
184	9120	40179
185	9166	40116
186	9214	40062
187	9261	40002
188	9312	39960
189	9359	39902
190	9409	39856
191	9457	39799
192	9502	39734
193	9548	39671
194	9599	39630
195	9648	39577
196	9694	39516
197	9742	39463
198	9791	39411
199	9840	39363
200	9890	39316
201	9938	39260
202	9984	39201
203	10031	39143
204	10078	39083
205	10123	39018
206	10174	38979
207	10222	38924
208	10273	38882
209	10320	38823
210	10369	38774
211	10413	38708
212	10465	38669
213	10513	38615
214	10563	38569
215	10610	38512
216	10659	38463
217	10707	38409
218	10751	38341
219	10801	38296
220	10850	38247
221	10897	38189
222	10947	38142
223	10995	38091
224	11043	38040
225	11098	38008
226	11152	37979
227	11203	37933
228	11249	37875
229	11300	37833
230	11350	37786
231	11398	37733
232	11444	37672
233	11491	37618
234	11534	37547
235	11580	37489
236	11632	37449
237	11681	37401
238	11731	37353
239	11778	37298
240	11822	37234
241	11871	37182
242	11918	37128
243	11964	37069
244	12011	37015
245	12058	36960
246	12105	36905
247	12157	36864
248	12205	36811
249	12255	36767
250	12306	36722
251	12357	36681
252	12408	36635
253	12452	36572
254	12503	36531
255	12553	36484
256	12602	36435
257	12655	36396
258	12702	36343
259	12750	36290
260	12800	36242
261	12851	36199
262	12899	36147
263	12945	36091
264	12997	36050
265	13046	35999
266	13097	35955
267	13150	35919
268	13200	35871
269	13249	35822
270	13296	35767
271	13341	35707
272	13394	35670
273	13444	35623
274	13492	35571
275	13543	35526
276	13591	35476
277	13641	35429
278	13688	35374
279	13732	35313
280	13786	35275
281	13835	35225
282	13883	35175
283	13932	35125
284	13980	35073
285	14029	35024
286	14078	34974
287	14127	34926
288	14178	34881
289	14232	34844
290	14279	34789
291	14327	34738
292	14374	34684
293	14421	34631
294	14470	34582
295	14516	34525
296	14561	34467
297	14611	34419
298	14659	34368
299	14704	34310
300	14755	34266
301	14806	34222
302	14856	34174
303	14907	34130
304	14956	34080
305	15006	34033
306	15054	33982
307	15103	33934
308	15154	33888
309	15203	33839
310	15252	33790
311	15299	33737
312	15345	33682
313	15392	33628
314	15438	33571
315	15483	33515
316	15530	33461
317	15576	33406
318	15625	33356
319	15676	33312
320	15723	33258
321	15770	33207
322	15816	33151
323	15864	33099
324	15910	33045
325	15956	32990
326	16003	32936
327	16049	32882
328	16094	32825
329	16141	32772
330	16189	32720
331	16236	32667
332	16282	32612
333	16327	32558
334	16374	32504
335	16421	32452
336	16472	32407
337	16518	32351
338	16563	32296
339	16613	32250
340	16661	32198
341	16706	32143
342	16753	32089
343	16800	32038
344	16847	31985
345	16895	31935
346	16941	31880
347	16986	31825
348	17033	31772
349	17079	31719
350	17125	31665
351	17173	31614
352	17218	31559
353	17263	31503
354	17309	31448
355	17356	31397
356	17402	31343
357	17451	31294
358	17500	31247
359	17547	31195
360	17592	31140
361	17645	31098
362	17691	31045
363	17737	30991
364	17784	30939
365	17829	30884
366	17875	30831
367	17922	30780
368	17969	30727
369	18015	30674
370	18061	30622
371	18108	30570
372	18155	30518
373	18201	30466
374	18248	30413
375	18295	30361
376	18341	30310
377	18388	30258
378	18432	30202
379	18479	30151
380	18526	30100
381	18575	30051
382	18624	30003
383	18672	29953
384	18720	29904
385	18765	29850
386	18812	29797
387	18859	29747
388	18902	29690
389	18950	29640
390	18998	29591
391	19043	29537
392	19093	29490
393	19138	29436
394	19184	29384
395	19232	29334
396	19280	29284
397	19326	29231
398	19373	29181
399	19419	29129
400	19466	29077
401	19513	29027
402	19558	28973
403	19606	28923
404	19658	28880
405	19708	28834
406	19758	28788
407	19805	28737
408	19854	28689
409	19897	28633
410	19949	28589
411	19998	28541
412	20045	28490
413	20090	28437
414	20136	28385
415	20182	28333
416	20229	28282
417	20277	28233
418	20325	28183
419	20371	28131
420	20416	28078
421	20463	28028
422	20512	27980
423	20557	27927
424	20603	27875
425	20653	27828
426	20701	27779
427	20747	27727
428	20793	27676
429	20839	27624
430	20881	27567
431	20927	27515
432	20973	27464
433	21020	27414
434	21066	27362
435	21112	27310
436	21158	27258
437	21202	27205
438	21251	27157
439	21300	27109
440	21346	27058
441	21393	27007
442	21437	26954
443	21483	26902
444	21529	26851
445	21576	26801
446	21624	26752
447	21674	26705
448	21720	26654
449	21768	26605
450	21814	26554
451	21865	26509
452	21909	26455
453	21953	26402
454	22000	26352
455	22046	26301
456	22093	26251
457	22139	26200
458	22186	26150
459	22232	26099
460	22280	26049
461	22323	25995
462	22370	25945
463	22417	25895
464	22463	25844
465	22510	25794
466	22557	25745
467	22603	25694
468	22649	25643
469	22698	25595
470	22743	25544
471	22789	25493
472	22835	25442
473	22878	25388
474	22925	25338
475	22968	25284
476	23015	25234
477	23061	25184
478	23107	25133
479	23155	25084
480	23201	25034
481	23251	24987
482	23297	24937
483	23342	24885
484	23390	24837
485	23435	24785
486	23481	24735
487	23525	24682
488	23570	24630
489	23617	24581
490	23662	24529
491	23708	24479
492	23757	24431
493	23799	24378
494	23848	24330
495	23893	24278
496	23939	24228
497	23986	24178
498	24029	24126
499	24076	24076
500	24121	24024
501	24167	23974
502	24212	23923
503	24258	23873
504	24305	23824
505	24351	23773
506	24399	23726
507	24446	23676
508	24492	23626
509	24536	23574
510	24581	23522
511	24628	23473
512	24675	23424
513	24718	23372
514	24764	23322
515	24810	23271
516	24857	23222
517	24900	23169
518	24945	23119
519	24990	23068
520	25039	23020
521	25083	22969
522	25126	22916
523	25171	22866
524	25225	22822
525	25270	22772
526	25316	22722
527	25360	22670
528	25413	22627
529	25460	22577
530	25502	22525
531	25548	22475
532	25595	22426
533	25642	22377
534	25689	22328
535	25734	22277
536	25780	22227
537	25826	22178
538	25874	22129
539	25919	22079
540	25966	22031
541	26013	21981
542	26058	21931
543	26103	21881
544	26150	21832
545	26197	21783
546	26244	21734
547	26289	21683
548	26334	21633
549	26378	21582
550	26425	21533
551	26470	21483
552	26520	21437
553	26570	21390
554	26616	21341
555	26664	21293
556	26711	21244
557	26759	21196
558	26804	21146
559	26851	21097
560	26900	21050
561	26942	20997
562	26991	20950
563	27038	20901
564	27085	20853
565	27133	20805
566	27177	20754
567	27225	20706
568	27271	20657
569	27319	20609
570	27366	20560
571	27415	20513
572	27461	20463
573	27508	20415
574	27551	20364
575	27594	20312
576	27642	20265
577	27688	20215
578	27734	20166
579	27780	20116
580	27828	20069
581	27874	20019
582	27917	19968
583	27962	19918
584	28006	19867
585	28051	19817
586	28098	19769
587	28147	19722
588	28193	19673
589	28237	19622
590	28284	19574
591	28334	19527
592	28383	19480
593	28428	19430
594	28472	19380
595	28516	19329
596	28561	19280
597	28606	19230
598	28654	19183
599	28701	19134
600	28747	19085
601	28793	19036
602	28838	18986
603	28883	18936
604	28930	18888
605	28977	18839
606	29023	18791
607	29072	18743
608	29114	18692
609	29162	18644
610	29209	18596
611	29255	18547
612	29304	18500
613	29350	18451
614	29395	18402
615	29441	18353
616	29487	18304
617	29536	18256
618	29584	18209
619	29631	18160
620	29674	18110
621	29719	18061
622	29763	18011
623	29811	17963
624	29857	17914
625	29902	17865
626	29946	17814
627	29992	17766
628	30038	17717
629	30084	17668
630	30132	17620
631	30178	17572
632	30223	17522
633	30268	17473
634	30313	17424
635	30359	17375
636	30405	17326
637	30449	17277
638	30498	17229
639	30544	17181
640	30590	17132
641	30636	17083
642	30679	17033
643	30727	16986
644	30773	16937
645	30822	16890
646	30867	16840
647	30912	16792
648	30960	16744
649	31005	16695
650	31050	16645
651	31096	16597
652	31142	16548
653	31186	16499
654	31233	16451
655	31284	16405
656	31327	16355
657	31374	16307
658	31420	16258
659	31467	16210
660	31512	16161
661	31559	16113
662	31605	16064
663	31651	16016
664	31698	15968
665	31743	15919
666	31790	15871
667	31834	15822
668	31884	15775
669	31930	15727
670	31976	15678
671	32021	15629
672	32067	15581
673	32116	15534
674	32164	15486
675	32212	15439
676	32257	15390
677	32302	15341
678	32351	15294
679	32401	15247
680	32448	15199
681	32494	15151
682	32538	15101
683	32585	15054
684	32630	15005
685	32680	14958
686	32728	14911
687	32774	14862
688	32820	14814
689	32864	14765
690	32914	14718
691	32959	14669
692	33007	14622
693	33058	14576
694	33107	14529
695	33156	14481
696	33203	14434
697	33252	14387
698	33299	14339
699	33345	14290
700	33393	14243
701	33436	14193
702	33485	14146
703	33535	14100
704	33582	14052
705	33630	14004
706	33676	13956
707	33727	13910
708	33776	13863
709	33820	13814
710	33869	13767
711	33917	13719
712	33967	13672
713	34016	13625
714	34064	13578
715	34113	13530
716	34159	13482
717	34208	13435
718	34254	13387
719	34303	13340
720	34354	13293
721	34401	13245
722	34449	13198
723	34500	13152
724	34548	13104
725	34603	13059
726	34652	13012
727	34705	12966
728	34754	12919
729	34802	12872
730	34850	12824
731	34899	12777
732	34944	12728
733	34992	12681
734	35042	12634
735	35091	12587
736	35141	12540
737	35191	12493
738	35237	12445
739	35286	12398
740	35335	12350
741	35384	12303
742	35432	12255
743	35482	12209
744	35528	12160
745	35575	12112
746	35622	12064
747	35670	12017
748	35718	11969
749	35765	11921
750	35813	11874
751	35866	11828
752	35915	11781
753	35965	11734
754	36013	11686
755	36059	11638
756	36108	11590
757	36154	11542
758	36202	11495
759	36251	11447
760	36299	11400
761	36346	11352
762	36393	11304
763	36444	11257
764	36490	11209
765	36537	11161
766	36585	11114
767	36633	11066
768	36688	11020
769	36737	10973
770	36785	10925
771	36830	10877
772	36877	10829
773	36933	10784
774	36986	10738
775	37034	10690
776	37084	10643
777	37131	10595
778	37178	10547
779	37227	10499
780	37277	10453
781	37324	10405
782	37373	10357
783	37420	10309
784	37468	10261
785	37515	10214
786	37564	10166
787	37611	10118
788	37655	10070
789	37703	10022
790	37751	9974
791	37797	9926
792	37844	9878
793	37890	9830
794	37936	9782
795	37985	9734
796	38031	9686
797	38079	9639
798	38125	9591
799	38182	9545
800	38227	9497
801	38274	9449
802	38321	9401
803	38369	9353
