iter	Passed	Remaining
0	162	162211
1	256	127991
2	354	117844
3	449	111980
4	544	108325
5	636	105506
6	729	103489
7	823	102117
8	914	100699
9	1005	99549
10	1097	98702
11	1190	97987
12	1284	97556
13	1379	97174
14	1473	96789
15	1567	96404
16	1662	96137
17	1757	95882
18	1851	95607
19	1944	95293
20	2037	95006
21	2130	94720
22	2223	94448
23	2317	94236
24	2410	94000
25	2502	93756
26	2596	93557
27	2685	93220
28	2774	92901
29	2863	92574
30	2951	92264
31	3040	91989
32	3129	91709
33	3222	91545
34	3312	91318
35	3404	91168
36	3492	90903
37	3585	90760
38	3673	90521
39	3765	90361
40	3857	90229
41	3946	90022
42	4039	89905
43	4135	89849
44	4227	89721
45	4319	89577
46	4415	89530
47	4512	89503
48	4604	89366
49	4694	89197
50	4785	89042
51	4875	88881
52	4961	88643
53	5046	88409
54	5137	88271
55	5223	88053
56	5315	87934
57	5405	87789
58	5500	87729
59	5597	87689
60	5686	87537
61	5779	87440
62	5872	87336
63	5957	87123
64	6050	87034
65	6144	86957
66	6234	86815
67	6328	86730
68	6417	86585
69	6508	86472
70	6599	86344
71	6687	86197
72	6780	86107
73	6874	86019
74	6965	85903
75	7054	85761
76	7146	85670
77	7239	85576
78	7329	85448
79	7419	85324
80	7509	85197
81	7599	85073
82	7690	84970
83	7781	84854
84	7873	84760
85	7963	84635
86	8051	84494
87	8143	84399
88	8233	84277
89	8323	84155
90	8412	84028
91	8499	83886
92	8591	83794
93	8680	83667
94	8770	83554
95	8862	83454
96	8952	83341
97	9043	83237
98	9133	83124
99	9220	82987
100	9315	82921
101	9410	82851
102	9499	82730
103	9595	82668
104	9685	82558
105	9776	82454
106	9869	82367
107	9956	82234
108	10044	82105
109	10134	81995
110	10222	81871
111	10314	81778
112	10404	81673
113	10497	81589
114	10586	81470
115	10678	81375
116	10770	81287
117	10866	81221
118	10948	81054
119	11040	80964
120	11128	80839
121	11225	80784
122	11316	80687
123	11406	80581
124	11492	80444
125	11578	80315
126	11666	80193
127	11753	80069
128	11844	79972
129	11936	79882
130	12027	79783
131	12115	79669
132	12198	79519
133	12290	79429
134	12378	79316
135	12470	79227
136	12562	79137
137	12655	79053
138	12744	78944
139	12840	78879
140	12927	78755
141	13014	78638
142	13099	78506
143	13188	78400
144	13281	78315
145	13377	78249
146	13465	78139
147	13560	78066
148	13646	77939
149	13744	77886
150	13839	77814
151	13933	77736
152	14019	77610
153	14112	77524
154	14212	77481
155	14312	77434
156	14405	77348
157	14493	77239
158	14586	77151
159	14683	77086
160	14781	77030
161	14871	76927
162	14973	76887
163	15087	76910
164	15184	76843
165	15283	76786
166	15391	76772
167	15490	76716
168	15590	76662
169	15691	76610
170	15794	76571
171	15882	76458
172	15978	76383
173	16079	76329
174	16178	76271
175	16282	76231
176	16386	76191
177	16473	76075
178	16565	75978
179	16656	75880
180	16749	75788
181	16851	75737
182	16952	75684
183	17045	75593
184	17134	75484
185	17233	75417
186	17323	75313
187	17414	75214
188	17502	75102
189	17593	75003
190	17693	74944
191	17783	74840
192	17888	74797
193	17984	74719
194	18076	74622
195	18171	74540
196	18265	74451
197	18362	74376
198	18462	74312
199	18555	74220
200	18654	74151
201	18739	74028
202	18830	73929
203	18929	73864
204	19022	73770
205	19113	73671
206	19214	73607
207	19299	73484
208	19385	73366
209	19471	73248
210	19569	73175
211	19666	73100
212	19757	72999
213	19843	72882
214	19933	72782
215	20018	72658
216	20103	72537
217	20197	72451
218	20294	72373
219	20384	72273
220	20490	72226
221	20599	72189
222	20689	72087
223	20784	72002
224	20881	71923
225	20974	71832
226	21072	71758
227	21178	71709
228	21282	71654
229	21386	71599
230	21476	71497
231	21562	71380
232	21667	71324
233	21750	71201
234	21848	71124
235	21957	71084
236	22043	70967
237	22127	70846
238	22227	70773
239	22312	70657
240	22403	70556
241	22496	70464
242	22590	70374
243	22688	70298
244	22794	70243
245	22879	70125
246	22971	70031
247	23060	69926
248	23148	69817
249	23238	69714
250	23322	69596
251	23408	69481
252	23494	69369
253	23582	69260
254	23679	69182
255	23770	69082
256	23859	68980
257	23960	68909
258	24059	68834
259	24152	68740
260	24244	68646
261	24337	68552
262	24427	68452
263	24519	68358
264	24607	68250
265	24697	68151
266	24797	68077
267	24903	68019
268	24993	67918
269	25085	67824
270	25183	67745
271	25294	67701
272	25398	67635
273	25509	67590
274	25603	67501
275	25696	67407
276	25791	67317
277	25885	67227
278	25979	67137
279	26078	67059
280	26171	66964
281	26260	66861
282	26355	66772
283	26450	66686
284	26552	66614
285	26645	66520
286	26751	66460
287	26842	66360
288	26950	66304
289	27046	66216
290	27146	66140
291	27258	66091
292	27366	66034
293	27475	65978
294	27571	65891
295	27678	65829
296	27779	65754
297	27883	65685
298	27970	65576
299	28066	65489
300	28153	65380
301	28249	65292
302	28343	65198
303	28430	65090
304	28514	64976
305	28597	64858
306	28683	64747
307	28766	64631
308	28852	64521
309	28954	64446
