iter	Passed	Remaining
0	67	38907
1	112	32120
2	153	29279
3	195	27909
4	239	27333
5	282	26829
6	325	26424
7	366	25986
8	410	25819
9	453	25609
10	495	25418
11	537	25227
12	579	25052
13	624	25015
14	667	24918
15	709	24785
16	752	24688
17	794	24599
18	837	24506
19	882	24488
20	924	24381
21	969	24372
22	1013	24331
23	1057	24277
24	1102	24248
25	1144	24176
26	1189	24143
27	1232	24085
28	1275	24019
29	1316	23922
30	1360	23880
31	1403	23814
32	1446	23762
33	1493	23763
34	1538	23738
35	1582	23692
36	1625	23633
37	1666	23554
38	1708	23479
39	1748	23391
40	1792	23346
41	1835	23294
42	1879	23256
43	1926	23246
44	1967	23177
45	2010	23120
46	2054	23077
47	2096	23019
48	2139	22965
49	2180	22892
50	2224	22855
51	2268	22819
52	2311	22766
53	2353	22706
54	2393	22631
55	2436	22576
56	2478	22527
57	2522	22487
58	2565	22440
59	2610	22405
60	2652	22354
61	2696	22314
62	2739	22261
63	2782	22219
64	2828	22193
65	2871	22143
66	2912	22080
67	2952	22017
68	2997	21978
69	3038	21923
70	3082	21880
71	3125	21833
72	3169	21793
73	3214	21760
74	3258	21720
75	3300	21671
76	3344	21628
77	3387	21582
78	3432	21548
79	3476	21512
80	3520	21471
81	3565	21434
82	3608	21389
83	3653	21357
84	3698	21323
85	3743	21286
86	3786	21241
87	3832	21207
88	3878	21177
89	3922	21138
90	3966	21098
91	4009	21050
92	4054	21012
93	4098	20973
94	4144	20938
95	4185	20885
96	4229	20844
97	4274	20804
98	4317	20759
99	4362	20722
100	4406	20680
101	4450	20637
102	4493	20590
103	4537	20550
104	4581	20507
105	4625	20464
106	4668	20417
107	4712	20376
108	4756	20334
109	4800	20294
110	4844	20252
111	4889	20211
112	4934	20174
113	4978	20130
114	5022	20091
115	5068	20057
116	5111	20007
117	5154	19961
118	5198	19919
119	5242	19877
120	5288	19844
121	5332	19799
122	5374	19748
123	5418	19707
124	5462	19665
125	5505	19619
126	5549	19576
127	5591	19526
128	5634	19479
129	5678	19437
130	5720	19387
131	5766	19352
132	5809	19307
133	5850	19255
134	5894	19211
135	5934	19157
136	5977	19111
137	6020	19064
138	6063	19019
139	6106	18972
140	6147	18922
141	6189	18874
142	6233	18830
143	6276	18787
144	6318	18738
145	6362	18696
146	6405	18649
147	6448	18605
148	6494	18567
149	6539	18527
150	6582	18483
151	6625	18438
152	6668	18392
153	6712	18349
154	6755	18305
155	6800	18264
156	6842	18217
157	6884	18168
158	6927	18125
159	6971	18082
160	7012	18033
161	7054	17985
162	7099	17945
163	7143	17901
164	7188	17862
165	7231	17816
166	7272	17766
167	7314	17720
168	7355	17669
169	7398	17626
170	7442	17583
171	7485	17537
172	7529	17495
173	7571	17449
174	7613	17403
175	7657	17360
176	7700	17315
177	7746	17277
178	7790	17235
179	7835	17195
180	7880	17153
181	7923	17108
182	7967	17067
183	8009	17020
184	8052	16975
185	8095	16930
186	8134	16877
187	8176	16830
188	8221	16791
189	8265	16748
190	8304	16696
191	8347	16652
192	8391	16609
193	8436	16568
194	8479	16523
195	8524	16483
196	8570	16444
197	8610	16395
198	8655	16353
199	8697	16307
200	8741	16266
201	8787	16226
202	8829	16180
203	8872	16136
204	8918	16097
205	8961	16051
206	9004	16008
207	9047	15964
208	9093	15924
209	9134	15876
210	9177	15832
211	9221	15790
212	9265	15747
213	9306	15699
214	9349	15655
215	9394	15613
216	9436	15568
217	9479	15523
218	9522	15479
219	9563	15432
220	9606	15387
221	9648	15342
222	9693	15300
223	9735	15254
224	9780	15213
225	9824	15171
226	9866	15125
227	9909	15082
228	9948	15031
229	9993	14990
230	10034	14943
231	10078	14900
232	10122	14858
233	10165	14813
234	10206	14766
235	10250	14723
236	10290	14676
237	10335	14634
238	10378	14590
239	10421	14546
240	10465	14503
241	10492	14437
242	10537	14396
243	10581	14355
244	10626	14313
245	10671	14271
246	10714	14228
247	10760	14188
248	10808	14150
249	10852	14108
250	10897	14066
251	10941	14023
252	10984	13980
253	11030	13939
254	11073	13895
255	11116	13852
256	11161	13810
257	11204	13767
258	11246	13721
259	11288	13676
260	11329	13630
261	11374	13589
262	11418	13545
263	11460	13500
264	11503	13457
265	11548	13415
266	11593	13374
267	11637	13331
268	11680	13287
269	11724	13244
270	11767	13200
271	11812	13159
272	11855	13114
273	11898	13071
274	11941	13027
275	11987	12986
276	12032	12944
277	12074	12899
278	12116	12854
279	12159	12810
280	12204	12768
281	12245	12723
282	12288	12679
283	12335	12639
284	12379	12596
285	12420	12550
286	12464	12507
287	12507	12463
288	12551	12421
289	12594	12377
290	12638	12334
291	12681	12290
292	12724	12246
293	12764	12200
294	12809	12157
295	12852	12114
296	12892	12068
297	12934	12022
298	12976	11978
299	13018	11934
300	13062	11890
301	13103	11845
302	13147	11802
303	13190	11758
304	13234	11716
305	13278	11672
306	13318	11626
307	13362	11583
308	13405	11540
309	13448	11496
310	13489	11450
311	13531	11406
312	13576	11364
313	13620	11321
314	13664	11278
315	13708	11235
316	13752	11193
317	13799	11152
318	13845	11110
319	13887	11066
320	13931	11023
321	13974	10979
322	14019	10937
323	14064	10895
324	14108	10852
325	14150	10808
326	14195	10766
327	14240	10724
328	14286	10682
329	14330	10639
330	14374	10596
331	14420	10554
332	14464	10511
333	14507	10467
334	14550	10424
335	14592	10379
336	14635	10336
337	14682	10295
338	14725	10251
339	14771	10209
340	14820	10170
341	14864	10127
342	14908	10084
343	14952	10041
344	14995	9997
345	15038	9952
346	15082	9910
347	15124	9865
348	15168	9822
349	15210	9777
350	15255	9735
351	15297	9691
352	15340	9647
353	15384	9604
354	15426	9560
355	15467	9515
356	15508	9470
357	15552	9426
358	15594	9382
359	15634	9337
360	15677	9293
361	15721	9250
362	15764	9207
363	15813	9166
364	15855	9122
365	15898	9078
366	15940	9034
367	15984	8991
368	16026	8947
369	16071	8904
370	16113	8860
371	16157	8817
372	16199	8772
373	16241	8728
374	16286	8686
375	16330	8642
376	16374	8599
377	16418	8556
378	16460	8512
379	16505	8470
380	16549	8426
381	16592	8383
382	16639	8341
383	16681	8297
384	16725	8254
385	16767	8210
386	16812	8167
387	16856	8124
388	16902	8081
389	16944	8037
390	16988	7994
391	17034	7952
392	17077	7908
393	17121	7865
394	17167	7823
395	17210	7779
396	17253	7735
397	17297	7692
398	17338	7648
399	17381	7604
400	17427	7561
401	17468	7517
402	17512	7474
403	17556	7431
404	17598	7386
405	17642	7343
406	17685	7300
407	17730	7257
408	17775	7214
409	17820	7171
410	17865	7128
411	17908	7084
412	17952	7042
413	17995	6998
414	18037	6954
415	18081	6911
416	18124	6867
417	18166	6823
418	18209	6779
419	18252	6736
420	18296	6692
421	18340	6649
422	18383	6605
423	18426	6562
424	18469	6518
425	18512	6475
426	18556	6431
427	18597	6387
428	18641	6344
