iter	Passed	Remaining
0	14	14498
1	21	10760
2	28	9400
3	35	8796
4	42	8376
5	49	8190
6	56	8018
7	64	8019
8	71	7835
9	78	7784
10	86	7813
11	97	8016
12	106	8100
13	114	8046
14	121	7971
15	129	7950
16	137	7948
17	144	7909
18	152	7867
19	159	7839
20	167	7802
21	174	7766
22	182	7761
23	190	7726
24	196	7667
25	203	7624
26	210	7589
27	217	7552
28	224	7506
29	230	7468
30	237	7425
31	244	7390
32	251	7355
33	257	7323
34	264	7289
35	271	7264
36	278	7246
37	285	7215
38	291	7188
39	298	7164
40	305	7152
41	312	7133
42	319	7121
43	327	7106
44	334	7090
45	340	7064
46	347	7043
47	354	7029
48	361	7014
49	368	6997
50	375	6980
51	381	6961
52	389	6954
53	395	6933
54	402	6914
55	409	6896
56	416	6885
57	423	6879
58	431	6887
59	438	6871
60	445	6863
61	452	6852
62	459	6834
63	466	6818
64	472	6801
65	479	6784
66	486	6767
67	492	6754
68	499	6738
69	506	6724
70	512	6708
71	519	6694
72	526	6682
73	533	6670
74	539	6653
75	546	6645
76	553	6638
77	561	6631
78	567	6621
79	575	6614
80	581	6601
81	589	6595
82	596	6586
83	603	6576
84	610	6566
85	616	6554
86	623	6541
87	630	6534
88	637	6525
89	644	6518
90	651	6508
91	658	6498
92	665	6487
93	672	6477
94	678	6466
95	685	6457
96	692	6447
97	699	6437
98	706	6429
99	713	6419
100	719	6406
101	726	6398
102	733	6387
103	740	6376
104	747	6369
105	754	6360
106	761	6352
107	768	6344
108	775	6339
109	782	6332
110	789	6322
111	796	6316
112	803	6310
113	810	6298
114	817	6290
115	824	6281
116	830	6271
117	837	6259
118	844	6253
119	851	6243
120	858	6237
121	865	6226
122	872	6218
123	879	6212
124	886	6203
125	892	6193
126	899	6182
127	906	6173
128	913	6166
129	920	6159
130	927	6153
131	934	6145
132	942	6141
133	949	6133
134	956	6125
135	962	6113
136	969	6105
137	976	6098
138	983	6089
139	990	6082
140	997	6074
141	1004	6070
142	1012	6067
143	1019	6058
144	1026	6053
145	1033	6046
146	1040	6037
147	1047	6028
148	1054	6023
149	1063	6029
150	1073	6037
151	1082	6036
152	1089	6029
153	1096	6023
154	1104	6022
155	1111	6016
156	1118	6008
157	1125	6000
158	1132	5992
159	1139	5984
160	1147	5977
161	1153	5969
162	1161	5962
163	1168	5956
164	1175	5948
165	1182	5941
166	1189	5933
167	1196	5925
168	1203	5919
169	1211	5912
170	1217	5904
171	1225	5897
172	1231	5888
173	1238	5881
174	1245	5872
175	1252	5864
176	1259	5855
177	1266	5848
178	1273	5841
179	1280	5834
180	1287	5826
181	1294	5819
182	1301	5811
183	1308	5804
