iter	Passed	Remaining
0	90	51899
1	163	46825
2	245	46741
3	319	45632
4	391	44623
5	462	43884
6	535	43451
7	594	42151
8	646	40660
9	718	40567
10	783	40173
11	834	39152
12	910	39375
13	988	39603
14	1053	39349
15	1115	38973
16	1195	39232
17	1271	39338
18	1343	39309
19	1424	39534
20	1505	39708
21	1588	39927
22	1671	40115
23	1756	40334
24	1838	40436
25	1917	40487
26	1997	40542
27	2075	40554
28	2155	40578
29	2237	40639
30	2318	40681
31	2395	40643
32	2472	40613
33	2554	40643
34	2636	40680
35	2717	40682
36	2798	40697
37	2875	40628
38	2951	40570
39	3029	40513
40	3108	40491
41	3190	40485
42	3268	40440
43	3346	40380
44	3420	40290
45	3497	40226
46	3578	40206
47	3654	40121
48	3730	40050
49	3806	39969
50	3881	39882
51	3957	39800
52	4034	39736
53	4113	39692
54	4190	39618
55	4269	39568
56	4345	39487
57	4424	39437
58	4504	39391
59	4583	39338
60	4658	39254
61	4736	39193
62	4814	39130
63	4891	39059
64	4970	38997
65	5046	38921
66	5126	38866
67	5203	38795
68	5279	38717
69	5355	38634
70	5433	38571
71	5509	38486
72	5588	38430
73	5665	38360
74	5740	38266
75	5823	38232
76	5900	38161
77	5977	38089
78	6056	38023
79	6137	37974
80	6217	37921
81	6301	37886
82	6380	37823
83	6460	37761
84	6537	37689
85	6619	37639
86	6697	37569
87	6774	37491
88	6849	37404
89	6926	37324
90	7005	37259
91	7084	37195
92	7160	37112
93	7237	37033
94	7314	36958
95	7391	36879
96	7466	36793
97	7542	36711
98	7613	36607
99	7689	36526
100	7765	36442
101	7841	36364
102	7918	36288
103	7993	36203
104	8070	36125
105	8149	36057
106	8224	35972
107	8303	35904
108	8381	35833
109	8458	35757
110	8535	35680
111	8613	35606
112	8688	35521
113	8764	35443
114	8841	35367
115	8920	35296
116	8999	35227
117	9080	35167
118	9161	35107
119	9236	35023
120	9313	34943
121	9391	34871
122	9469	34797
123	9547	34724
124	9623	34646
125	9701	34572
126	9781	34503
127	9860	34433
128	9936	34352
129	10012	34274
130	10092	34207
131	10170	34132
132	10247	34056
133	10325	33980
134	10402	33903
135	10479	33828
136	10560	33762
137	10641	33698
138	10716	33613
139	10790	33529
140	10871	33461
141	10944	33373
142	11021	33296
143	11104	33236
144	11182	33163
145	11262	33093
146	11336	33006
147	11409	32918
148	11486	32840
149	11561	32757
150	11638	32681
151	11715	32602
152	11793	32528
153	11871	32455
154	11952	32386
155	12029	32310
156	12107	32233
157	12183	32155
158	12262	32082
159	12338	32002
160	12408	31908
161	12481	31818
162	12556	31738
163	12633	31661
164	12714	31592
165	12791	31517
166	12868	31438
167	12946	31364
168	13022	31284
169	13098	31205
170	13177	31131
171	13257	31062
172	13334	30984
173	13411	30908
174	13486	30827
175	13563	30749
176	13641	30674
177	13719	30599
178	13795	30520
179	13871	30440
180	13949	30365
181	14030	30295
182	14107	30218
183	14184	30142
184	14258	30057
185	14337	29985
186	14415	29910
187	14491	29831
188	14571	29759
189	14644	29675
190	14719	29593
191	14797	29517
192	14874	29440
193	14951	29363
194	15025	29279
195	15103	29205
196	15181	29129
197	15258	29052
198	15336	28977
199	15414	28901
200	15491	28824
201	15568	28748
202	15647	28673
203	15722	28594
204	15804	28525
205	15877	28440
206	15962	28376
207	16038	28298
208	16116	28222
209	16196	28150
210	16276	28078
211	16354	28002
212	16433	27928
213	16516	27861
214	16590	27778
215	16666	27700
216	16745	27627
217	16823	27549
218	16895	27464
219	16971	27386
220	17049	27309
221	17126	27231
222	17202	27153
223	17281	27079
224	17364	27010
225	17446	26941
226	17524	26865
227	17605	26793
228	17685	26721
229	17763	26645
230	17844	26574
231	17924	26500
232	18000	26421
233	18079	26347
234	18156	26269
235	18229	26186
236	18306	26108
237	18384	26031
238	18459	25951
239	18537	25875
240	18615	25798
241	18693	25722
242	18769	25643
243	18844	25563
244	18922	25486
245	19001	25412
246	19078	25335
247	19154	25255
248	19234	25182
249	19310	25104
250	19386	25024
251	19463	24947
252	19543	24874
253	19622	24798
254	19703	24725
255	19781	24650
256	19863	24577
257	19941	24502
258	20021	24427
259	20100	24352
260	20177	24275
261	20255	24198
262	20331	24119
263	20407	24040
264	20481	23959
265	20556	23879
266	20637	23806
267	20714	23729
268	20792	23652
269	20871	23576
270	20953	23505
271	21030	23427
272	21105	23346
273	21180	23267
274	21258	23190
275	21337	23115
276	21417	23041
277	21492	22961
278	21570	22884
279	21650	22809
280	21723	22728
281	21802	22652
282	21881	22576
283	21954	22495
284	22028	22415
285	22102	22334
286	22179	22256
287	22257	22179
288	22331	22099
289	22404	22018
290	22482	21941
291	22560	21864
292	22637	21787
293	22711	21707
294	22789	21630
295	22867	21554
296	22946	21478
297	23027	21404
298	23108	21330
299	23186	21254
300	23263	21176
301	23339	21098
302	23416	21020
303	23493	20943
304	23570	20865
305	23647	20788
306	23722	20708
307	23797	20629
308	23875	20552
309	23952	20475
310	24029	20398
311	24105	20319
312	24183	20242
313	24259	20164
314	24334	20085
315	24411	20008
316	24486	19929
317	24563	19851
318	24638	19772
319	24714	19694
320	24792	19617
321	24865	19537
322	24942	19459
323	25019	19382
324	25102	19309
325	25178	19231
326	25257	19155
327	25335	19079
328	25410	19000
329	25487	18922
330	25561	18843
331	25636	18763
332	25710	18684
333	25784	18605
334	25862	18528
335	25936	18449
336	26016	18373
337	26091	18295
338	26171	18219
339	26250	18143
340	26329	18067
341	26409	17992
342	26489	17916
343	26564	17838
344	26639	17759
345	26713	17680
346	26786	17600
347	26863	17522
348	26942	17447
349	27019	17369
350	27097	17292
351	27175	17216
352	27256	17141
353	27334	17064
354	27413	16988
355	27493	16913
356	27573	16837
357	27649	16759
358	27724	16680
359	27801	16603
360	27877	16525
361	27955	16449
362	28031	16371
363	28107	16293
364	28183	16214
365	28258	16136
366	28334	16059
367	28408	15979
368	28481	15900
369	28559	15823
370	28637	15746
371	28716	15670
372	28796	15594
373	28874	15517
374	28953	15441
375	29031	15365
376	29113	15290
377	29191	15213
378	29271	15137
379	29348	15060
380	29426	14983
381	29505	14907
382	29582	14829
383	29656	14751
