iter	Passed	Remaining
0	55	31648
1	92	26484
2	130	24901
3	167	23974
4	206	23545
5	242	23025
6	279	22712
7	317	22472
8	353	22261
9	391	22126
10	427	21931
11	465	21821
12	500	21638
13	536	21485
14	572	21373
15	608	21263
16	644	21159
17	681	21095
18	721	21099
19	759	21076
20	802	21165
21	844	21230
22	884	21234
23	925	21252
24	964	21221
25	1004	21203
26	1042	21166
27	1082	21149
28	1120	21101
29	1159	21057
30	1197	21009
31	1235	20964
32	1274	20931
33	1312	20889
34	1351	20850
35	1389	20806
36	1428	20773
37	1467	20734
38	1505	20695
39	1544	20651
40	1582	20607
41	1619	20557
42	1657	20512
43	1696	20475
44	1735	20440
45	1775	20418
46	1813	20372
47	1850	20317
48	1888	20272
49	1925	20217
50	1964	20185
51	2001	20130
52	2039	20085
53	2074	20014
54	2111	19962
55	2147	19904
56	2183	19844
57	2222	19807
58	2258	19753
59	2295	19700
60	2334	19669
61	2373	19635
62	2409	19584
63	2446	19532
64	2482	19475
65	2519	19429
66	2556	19385
67	2595	19348
68	2632	19303
69	2668	19253
70	2705	19205
71	2742	19158
72	2781	19125
73	2817	19074
74	2853	19020
75	2888	18962
76	2924	18913
77	2959	18856
78	2995	18807
79	3030	18753
80	3067	18708
81	3104	18662
82	3139	18608
83	3174	18555
84	3209	18503
85	3247	18463
86	3282	18414
87	3319	18369
88	3355	18324
89	3393	18285
90	3429	18241
91	3465	18195
92	3501	18148
93	3537	18099
94	3573	18056
95	3610	18016
96	3646	17969
97	3681	17921
98	3717	17876
99	3754	17834
100	3795	17810
101	3832	17770
102	3867	17721
103	3904	17681
104	3939	17634
105	3976	17594
106	4012	17550
107	4048	17505
108	4083	17458
109	4119	17414
110	4155	17370
111	4191	17328
112	4227	17283
113	4263	17239
114	4298	17195
115	4335	17153
116	4371	17111
117	4407	17070
118	4444	17029
119	4480	16986
120	4515	16942
121	4551	16901
122	4587	16858
123	4622	16813
124	4658	16770
125	4694	16728
126	4730	16686
127	4765	16642
128	4802	16605
129	4840	16569
130	4875	16525
131	4911	16484
132	4948	16443
133	4984	16403
134	5018	16357
135	5055	16319
136	5091	16279
137	5129	16243
138	5164	16200
139	5201	16162
140	5239	16126
141	5274	16084
